Art;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Wasserkraft ;18.322;20.745;19.638;20.031;21.170;20.443;19.031;20.953;17.671;21.755;22.998;19.587;18.977;20.546;20.150;18.098;20.135;18.721;19.657;17.625
Windenergie an Land;19.087;26.019;27.774;31.324;40.507;41.385;39.382;38.371;49.280;50.948;51.819;57.026;72.340;67.650;88.018;90.484;101.150;104.796;89.795;99.692
Windenergie auf See;0;0;0;0;0;0;38;176;577;732;918;1.471;8.284;12.274;17.675;19.467;24.744;27.306;24.374;25.124
Photovoltaik;320;568;1.308;2.265;3.137;4.508;6.715;11.963;19.991;26.744;30.621;35.448;38.076;37.556;38.761;44.320;45.221;49.496;50.472;60.304
biogene Festbrennstoffe;3.392;5.162;7.478;8.819;8.699;9.296;9.746;10.351;10.516;10.693;10.555;10.798;11.034;10.797;10.644;11.068;11.038;11.306;10.738;10.254
biogene flüssige Brennstoffe;54;142;121;749;987;1.133;1.700;1.331;398;355;299;347;443;508;454;397;344;320;210;97
Biogas;1.614;1.181;1.803;3.557;8.915;11.648;14.020;16.265;19.936;25.920;27.468;28.614;30.086;30.726;31.089;30.266;30.106;30.671;30.552;30.469
Biomethan;0;0;0;0;21;46;81;385;596;1.117;1.713;2.512;3.147;3.146;2.966;2.980;2.990;3.046;3.273;3.098
Klärgas ;955;986;1.096;1.057;1.033;1.094;1.131;1.203;1.280;1.314;1.308;1.336;1.389;1.440;1.460;1.555;1.581;1.579;1.576;1.553
Deponiegas;793;988;1.068;1.092;1.009;864;788;674;628;536;483;435;396;358;338;305;287;247;229;201
biogener Anteil des Abfalls;2.238;2.253;3.252;3.901;4.521;4.671;4.323;4.746;4.755;4.951;5.415;6.069;5.768;5.930;5.956;6.163;5.806;5.820;5.792;5.562
Geothermie ;0;0,2;0,2;0,4;0,4;18;19;28;19;25;80;98;133;175;163;178;197;231;244;206
