Art;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Wasserkraft ;18.075;20.494;19.344;19.718;20.811;20.134;18.743;20.682;17.326;21.332;22.660;19.310;18.665;20.215;19.985;17.926;19.957;18.546;19.483;17.458
Windenergie an Land;18.713;25.509;27.229;30.710;39.713;40.574;38.610;37.619;48.314;49.949;50.803;55.908;70.922;66.324;86.293;88.710;99.166;102.741;88.034;97.738
Windenergie auf See;0;0;0;0;0;0;38;174;568;722;905;1.449;8.162;12.092;17.414;19.179;24.379;26.903;24.014;24.752
Photovoltaik;313;557;1.282;2.220;3.075;4.420;6.583;11.729;19.599;26.220;30.020;34.753;37.330;36.820;38.001;43.451;44.334;48.525;49.482;59.121
biogene Festbrennstoffe;3.016;4.512;6.721;7.913;7.824;8.285;8.733;9.247;9.395;9.509;9.392;9.657;9.855;9.673;9.542;9.807;9.790;10.002;9.594;9.199
biogene flüssige Brennstoffe;53;137;117;726;958;1.099;1.649;1.291;386;319;286;333;425;481;428;381;330;308;201;91
Biogas;1.565;1.146;1.749;3.450;8.647;11.298;13.599;15.777;19.338;25.143;26.644;27.756;29.184;29.804;30.156;29.358;29.206;29.754;29.639;29.558
Biomethan;0;0;0;0;20;44;79;376;582;1.091;1.672;2.452;3.071;3.070;2.895;2.930;2.923;2.977;3.195;3.024
Klärgas ;923;947;1.057;1.023;999;1.033;1.042;1.093;1.179;1.217;1.215;1.283;1.308;1.331;1.357;1.551;1.578;1.576;1.572;1.550
Deponiegas;741;967;1.040;1.046;962;826;713;600;595;512;461;416;384;343;324;279;262;233;215;188
biogener Anteil des Abfalls;1.649;1.647;2.422;2.965;3.519;3.667;3.352;3.755;3.795;3.971;4.305;4.838;4.565;4.746;4.802;4.932;4.626;4.638;4.575;4.374
Geothermie ;0;0;0;0;0;12;13;20;19;25;69;67;91;164;157;126;144;173;174;152
